Product Page,Product Name,Price Range / Price,Ratings,Company Name,Product Image URL
https://www.jumia.com.eg/redragon-m711-cobra-rgb-gaming-mouse-10000-dpi-7-mmo-buttons-15048664.html,Redragon M711 COBRA RGB Gaming Mouse - 10000 DPI -7 MMO Buttons,EGP 799.00,4.7 out of 5,Redragon,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/46/684051/1.jpg?2221
https://www.jumia.com.eg/redragon-m711-cobra-rgb-gaming-mouse-10000-dpi-7-mmo-buttons-15048664.html,Redragon M711 COBRA RGB Gaming Mouse - 10000 DPI -7 MMO Buttons,EGP 799.00,4.7 out of 5,Redragon,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/46/684051/1.jpg?2221
